Year,Festival,Product,Quantity
2017,Deepavali,Muthu petu,10263
2017,Deepavali,Siva nandhi,5461
2017,Deepavali,Siva elephant,6513
2017,Deepavali,Flower,1956
2017,Deepavali,Thalapathi vesthi set,3545
2017,Deepavali,Plain towels,8411
2017,Deepavali,Printed towels,5321
2017,Deepavali,Golden jariga towels,3599
2017,Deepavali,Colour vesti,6112
2017,Deepavali,Plain towels low quality,6620
2017,Deepavali,Plain towels high quality,4961
2017,Deepavali,Swami vesti,3722
2017,Deepavali,Swami border,3364
2017,Deepavali,White towels,8088
2017,Deepavali,Kavi vesti,4639
2017,Vinayagar Chaturthi,Muthu petu,5982
2017,Vinayagar Chaturthi,Siva nandhi,7426
2017,Vinayagar Chaturthi,Siva elephant,8254
2017,Vinayagar Chaturthi,Flower,3113
2017,Vinayagar Chaturthi,Thalapathi vesthi set,195482
2017,Vinayagar Chaturthi,Plain towels,66966
2017,Vinayagar Chaturthi,Printed towels,91502
2017,Vinayagar Chaturthi,Golden jariga towels,65275
2017,Vinayagar Chaturthi,Colour vesti,3130
2017,Vinayagar Chaturthi,Plain towels low quality,10351
2017,Vinayagar Chaturthi,Plain towels high quality,4121
2017,Vinayagar Chaturthi,Swami vesti,10087
2017,Vinayagar Chaturthi,Swami border,3806
2017,Vinayagar Chaturthi,White towels,5003
2017,Vinayagar Chaturthi,Kavi vesti,8639
2017,August Month,Muthu petu,8143
2017,August Month,Siva nandhi,5322
2017,August Month,Siva elephant,11310
2017,August Month,Flower,9030
2017,August Month,Thalapathi vesthi set,9415
2017,August Month,Plain towels,4851
2017,August Month,Printed towels,2758
2017,August Month,Golden jariga towels,5172
2017,August Month,Colour vesti,68726
2017,August Month,Plain towels low quality,74114
2017,August Month,Plain towels high quality,38505
2017,August Month,Swami vesti,7850
2017,August Month,Swami border,8260
2017,August Month,White towels,3337
2017,August Month,Kavi vesti,7336
2017,Pongal,Muthu petu,21333
2017,Pongal,Siva nandhi,9170
2017,Pongal,Siva elephant,4476
2017,Pongal,Flower,8642
2017,Pongal,Thalapathi vesthi set,6552
2017,Pongal,Plain towels,7129
2017,Pongal,Printed towels,2797
2017,Pongal,Golden jariga towels,11057
2017,Pongal,Colour vesti,10964
2017,Pongal,Plain towels low quality,3402
2017,Pongal,Plain towels high quality,5501
2017,Pongal,Swami vesti,4757
2017,Pongal,Swami border,6521
2017,Pongal,White towels,5379
2017,Pongal,Kavi vesti,8696
2017,Tamil New Year,Muthu petu,6849
2017,Tamil New Year,Siva nandhi,6355
2017,Tamil New Year,Siva elephant,8537
2017,Tamil New Year,Flower,4732
2017,Tamil New Year,Thalapathi vesthi set,3965
2017,Tamil New Year,Plain towels,6294
2017,Tamil New Year,Printed towels,4097
2017,Tamil New Year,Golden jariga towels,7068
2017,Tamil New Year,Colour vesti,5697
2017,Tamil New Year,Plain towels low quality,7581
2017,Tamil New Year,Plain towels high quality,3591
2017,Tamil New Year,Swami vesti,7481
2017,Tamil New Year,Swami border,9990
2017,Tamil New Year,White towels,77245
2017,Tamil New Year,Kavi vesti,2011
2018,Deepavali,Muthu petu,9855
2018,Deepavali,Siva nandhi,5561
2018,Deepavali,Siva elephant,7322
2018,Deepavali,Flower,1985
2018,Deepavali,Thalapathi vesthi set,5672
2018,Deepavali,Plain towels,5521
2018,Deepavali,Printed towels,9730
2018,Deepavali,Golden jariga towels,5006
2018,Deepavali,Colour vesti,7975
2018,Deepavali,Plain towels low quality,4882
2018,Deepavali,Plain towels high quality,7725
2018,Deepavali,Swami vesti,9306
2018,Deepavali,Swami border,4671
2018,Deepavali,White towels,6410
2018,Deepavali,Kavi vesti,8532
2018,Vinayagar Chaturthi,Muthu petu,3268
2018,Vinayagar Chaturthi,Siva nandhi,4561
2018,Vinayagar Chaturthi,Siva elephant,3714
2018,Vinayagar Chaturthi,Flower,9419
2018,Vinayagar Chaturthi,Thalapathi vesthi set,219267
2018,Vinayagar Chaturthi,Plain towels,66050
2018,Vinayagar Chaturthi,Printed towels,91682
2018,Vinayagar Chaturthi,Golden jariga towels,65018
2018,Vinayagar Chaturthi,Colour vesti,4047
2018,Vinayagar Chaturthi,Plain towels low quality,5958
2018,Vinayagar Chaturthi,Plain towels high quality,9544
2018,Vinayagar Chaturthi,Swami vesti,4959
2018,Vinayagar Chaturthi,Swami border,7333
2018,Vinayagar Chaturthi,White towels,9975
2018,Vinayagar Chaturthi,Kavi vesti,7794
2018,August Month,Muthu petu,4047
2018,August Month,Siva nandhi,6485
2018,August Month,Siva elephant,7268
2018,August Month,Flower,3657
2018,August Month,Thalapathi vesthi set,3366
2018,August Month,Plain towels,8624
2018,August Month,Printed towels,6015
2018,August Month,Golden jariga towels,6129
2018,August Month,Colour vesti,77465
2018,August Month,Plain towels low quality,75132
2018,August Month,Plain towels high quality,41769
2018,August Month,Swami vesti,3576
2018,August Month,Swami border,6418
2018,August Month,White towels,7540
2018,August Month,Kavi vesti,4399
2018,Pongal,Muthu petu,14678
2018,Pongal,Siva nandhi,7381
